codigo_sku,nome_projeto,segmentacao_prioridade,estoque_atual,consumo_medio_diario,cobertura_dias,acao_ressuprimento,sinal_redistribuicao
BSN0009,BikeRio,sem segmentacao,220,"6,67",33,estoque saudavel,sem oportunidade clara
BSN0009,BikeSSA,sem segmentacao,90,5,18,estoque saudavel,sem oportunidade clara
BSN0103,BikeSSA,sem segmentacao,50,3,"16,67",estoque saudavel,sem oportunidade clara
BSN0104,BikeSSA,sem segmentacao,67,"2,5","26,8",estoque saudavel,sem oportunidade clara
BSN0105,BikeSSA,sem segmentacao,71,2,"35,5",estoque saudavel,sem oportunidade clara
BSN0106,BikePoa,sem segmentacao,67,2,"33,5",estoque saudavel,sem oportunidade clara
BSN0107,BikeSSA,sem segmentacao,69,3,23,estoque saudavel,sem oportunidade clara
BSN0108,BikeSSA,sem segmentacao,59,"2,5","23,6",estoque saudavel,sem oportunidade clara
BSN0114,BikeSSA,sem segmentacao,98,"4,33","22,62",estoque saudavel,sem oportunidade clara
BSN0119,BikeSSA,sem segmentacao,41,"2,5","16,4",estoque saudavel,sem oportunidade clara
BSN0511,BikeBSB,sem segmentacao,35,1,35,estoque saudavel,sem oportunidade clara
BTB0005-1,BikeCuritiba,sem segmentacao,51,"1,8","28,33",estoque saudavel,sem oportunidade clara
BTB0005-1,BikeRio,sem segmentacao,349,"12,43","28,08",estoque saudavel,sem oportunidade clara
BTB0018N-1,BikeRio,sem segmentacao,435,20,"21,75",estoque saudavel,sem oportunidade clara
BTB0025,BikeSSA,sem segmentacao,289,11,"26,27",estoque saudavel,sem oportunidade clara
BTB0026,BikeSampa,sem segmentacao,60,"2,67","22,5",estoque saudavel,sem oportunidade clara
BTB0032-1,BikePE,sem segmentacao,230,10,23,estoque saudavel,sem oportunidade clara
BTB0032-1,BikePoa,sem segmentacao,154,"5,83","26,4",estoque saudavel,sem oportunidade clara
BTB0032-1,BikeRio,sem segmentacao,208,"4,67","44,57",estoque saudavel,sem oportunidade clara
BTB0032-1,BikeSampa,sem segmentacao,92,"2,67","34,5",estoque saudavel,sem oportunidade clara
BTB0057,BikeSampa,sem segmentacao,24,"1,2",20,estoque saudavel,sem oportunidade clara
BTB0059-2,BikeBSB,sem segmentacao,35,"1,4",25,estoque saudavel,sem oportunidade clara
BTB0059-2,BikeCuritiba,sem segmentacao,45,"1,4","32,14",estoque saudavel,sem oportunidade clara
BTB0059-2,BikeFloripa,sem segmentacao,138,5,"27,6",estoque saudavel,sem oportunidade clara
BTB0059-2,BikePE,sem segmentacao,360,20,18,estoque saudavel,sem oportunidade clara
BTB0059-2,BikeRio,sem segmentacao,930,"37,13","25,05",estoque saudavel,sem oportunidade clara
BTB0059-2,BikeSSA,sem segmentacao,180,"4,33","41,54",estoque saudavel,sem oportunidade clara
BTB0059-2,BikeSampa,sem segmentacao,185,"4,71","39,24",estoque saudavel,sem oportunidade clara
BTB0060,BikeSSA,sem segmentacao,100,6,"16,67",estoque saudavel,sem oportunidade clara
BTB0069N,BikeCuritiba,sem segmentacao,28,1,28,estoque saudavel,sem oportunidade clara
BTB0087,BikeCuritiba,sem segmentacao,77,2,"38,5",estoque saudavel,sem oportunidade clara
BTB0091,BikePoa,sem segmentacao,190,10,19,estoque saudavel,sem oportunidade clara
