codigo_sku,nome_projeto,segmentacao_prioridade,dias_com_ruptura,taxa_ruptura,primeira_data_ruptura,ultima_data_ruptura,qte_eventos_ruptura,status_ultimo_dia
FTB0121,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
PTI0045,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FTB0156,BikeFloripa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTI0046,BikePoa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0087N,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BEFN0126,BikeRio,A,17,1,2026-02-07,2026-02-23,1,em ruptura
ETB0571,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BII0004,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0112,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
PATB006,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0038,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1122,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0323,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
FCB0201,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1087,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0150,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0251,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0292,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1041,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0179-2,BikeSampa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1006,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0203,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBET0263,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0224,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE0713,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0246,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0909,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BTB0287,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0035,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
ECB0135,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BPN0056,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0065,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-3,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0007,BikePE,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-6,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BSN0001,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0002-9,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0043,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
MCB0005,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0059,BikeCuritiba,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
JUROS ALUGUEL,BikeRio,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0060,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND929,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND0801,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BBTN0070,BikePoa,A,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0089,BikeBH,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1947,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
SE07021,BikePoa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
BCB0067,BikeSampa,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
EPI0229,BikeBSB,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
IND1921,BikeSSA,sem segmentacao,17,1,2026-02-07,2026-02-23,1,em ruptura
