codigo,segmentacao,projeto,ingestion_date
BTB0001,B,riviera,2026-02-17
BTB0001,B,riviera,2026-02-18
BTB0001,B,riviera,2026-02-16
BTB0001,B,riviera,2026-02-23
BTB0001,B,riviera,2026-02-09
BTB0001,B,riviera,2026-02-12
BTB0001,B,riviera,2026-02-10
BTB0001,B,riviera,2026-02-14
BTB0001,B,riviera,2026-02-13
BTB0001,B,riviera,2026-02-21
BTB0001,B,riviera,2026-02-15
BTB0001,B,riviera,2026-02-22
BTB0001,B,riviera,2026-02-19
BTB0001,B,riviera,2026-02-11
BTB0001,B,riviera,2026-02-20
BTB0001,B,riviera,2026-02-07
BTB0001,B,riviera,2026-02-08
BTB0002,B,riviera,2026-02-09
BTB0002,B,riviera,2026-02-11
BTB0002,B,riviera,2026-02-10
BTB0002,B,riviera,2026-02-13
BTB0002,B,riviera,2026-02-19
BTB0002,B,riviera,2026-02-08
BTB0002,B,riviera,2026-02-07
BTB0002,B,riviera,2026-02-18
BTB0002,B,riviera,2026-02-15
BTB0002,B,riviera,2026-02-20
BTB0002,B,riviera,2026-02-16
BTB0002,B,riviera,2026-02-12
BTB0002,B,riviera,2026-02-22
BTB0002,B,riviera,2026-02-21
BTB0002,B,riviera,2026-02-23
BTB0002,B,riviera,2026-02-14
BTB0002,B,riviera,2026-02-17
BTB0003,A,riviera,2026-02-08
BTB0003,A,riviera,2026-02-21
BTB0003,A,riviera,2026-02-18
BTB0003,A,riviera,2026-02-22
BTB0003,A,riviera,2026-02-19
BTB0003,A,riviera,2026-02-14
BTB0003,A,riviera,2026-02-11
BTB0003,A,riviera,2026-02-09
BTB0003,A,riviera,2026-02-17
BTB0003,A,riviera,2026-02-20
BTB0003,A,riviera,2026-02-10
BTB0003,A,riviera,2026-02-23
BTB0003,A,riviera,2026-02-13
BTB0003,A,riviera,2026-02-16
BTB0003,A,riviera,2026-02-15
BTB0003,A,riviera,2026-02-12
BTB0003,A,riviera,2026-02-07
BTB0004,A,riviera,2026-02-12
BTB0004,A,riviera,2026-02-09
BTB0004,A,riviera,2026-02-18
BTB0004,A,riviera,2026-02-17
BTB0004,A,riviera,2026-02-08
BTB0004,A,riviera,2026-02-20
BTB0004,A,riviera,2026-02-19
BTB0004,A,riviera,2026-02-23
BTB0004,A,riviera,2026-02-15
BTB0004,A,riviera,2026-02-22
BTB0004,A,riviera,2026-02-16
BTB0004,A,riviera,2026-02-21
BTB0004,A,riviera,2026-02-13
